,Country Name,Country Code,PM25 Concentration,Per capita emissions,Population,GDP Per Capita,total_emissions_all_pollutants,Income Group,Region,SIDS_category,Emission Rank,PM2.5 Rank,Pollution Emission Gap
136,Russia,RUS,9.857,0.1573978087846107,144308980.4,35483.125,22712122.842,Upper-middle-income countries,Europe & Central Asia,0,117.0,14.0,103.0
137,Rwanda,RWA,34.93,0.043634061698498,11520464.8,2184.76833,501667.49302000005,Low-income countries,Sub-Saharan Africa,0,8.0,115.0,-107.0
143,Saudi Arabia,SAU,57.003,0.3170456774396529,28318050.7,58765.6155,8943930.8672,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,141.0,144.0,-3.0
144,Senegal,SEN,38.364,0.0556128630417086,14413803.0,3628.51935,790575.4119200001,Lower-middle-income countries,Sub-Saharan Africa,0,18.0,120.0,-102.0
145,Serbia,SRB,26.255000000000003,0.1804623038047307,7113019.4,18847.9785,1284976.4246200002,Upper-middle-income countries,Europe & Central Asia,0,123.0,95.0,28.0
147,Sierra Leone,SLE,39.524,0.0886697906570658,6966031.7,2751.43808,615397.52258,Low-income countries,Sub-Saharan Africa,0,57.0,125.0,-68.0
149,Slovakia,SVK,19.411,0.1124591721137966,5422418.2,33048.9171,609521.0577,High-income countries,Europe & Central Asia,0,85.0,62.0,23.0
150,Slovenia,SVN,17.808,0.110898444953243,2063775.8,39546.8539,228782.088405,High-income countries,Europe & Central Asia,0,83.0,56.0,27.0
152,Somalia,SOM,14.38,0.1134249199505014,13783662.1,1287.34027,1550781.97094,Low-income countries,Sub-Saharan Africa,0,87.0,39.0,48.0
153,South Africa,ZAF,19.07,0.2227320892459231,55921458.8,14501.0242,12428083.1014,Upper-middle-income countries,Sub-Saharan Africa,0,129.0,61.0,68.0
154,South Korea,KOR,27.127,0.0956768583904477,50781069.6,44544.7299,4856415.0648,High-income countries,East Asia & Pacific,0,66.0,97.0,-31.0
155,Spain,ESP,10.995,0.0914604063699326,46650976.5,43393.204,4266474.7294,High-income countries,Europe & Central Asia,0,62.0,18.0,44.0
156,Sri Lanka,LKA,23.948,0.1388195934434039,21152559.5,12820.3208,2936744.449,Lower-middle-income countries,South Asia,0,101.0,84.0,17.0
157,Sudan,SDN,22.158,0.0870202851804172,39886495.0,4100.83379,3456170.8349,Lower-middle-income countries,Sub-Saharan Africa,0,55.0,75.0,-20.0
159,Sweden,SWE,6.531999999999999,0.0965974479534239,9787727.2,58642.663,942781.90554,High-income countries,Europe & Central Asia,0,69.0,3.0,66.0
160,Switzerland,CHE,10.907,0.0535414292967433,8220934.6,76587.0796,438408.77926,High-income countries,Europe & Central Asia,0,15.0,17.0,-2.0
161,Syria,SYR,24.726999999999997,0.0393998062169574,20783535.7,6225.58359,832289.3393,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,3.0,86.0,-83.0
162,Tajikistan,TJK,63.496,0.1112014288610723,8556600.2,3014.7023799999997,951567.96633,Low-income countries,Europe & Central Asia,0,84.0,147.0,-63.0
163,Tanzania,TZA,15.419999999999998,0.0904558734334291,51544765.6,3073.073,4652794.1373,Low-income countries,Sub-Saharan Africa,0,58.0,42.0,16.0
164,Thailand,THA,24.884,0.2331535262394677,70254340.7,18836.8424,16366701.4364,Upper-middle-income countries,East Asia & Pacific,0,132.0,88.0,44.0
165,Togo,TGO,36.198,0.112957321148414,7580816.2,2329.78258,856223.8659400002,Low-income countries,Sub-Saharan Africa,0,86.0,118.0,-32.0
168,Tunisia,TUN,26.395999999999997,0.0799802574820797,11329934.2,12734.45485,904601.3023,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,43.0,96.0,-53.0
169,Turkey,TUR,23.063,0.0841211924204062,77766689.7,25137.2248,6540749.3066,Upper-middle-income countries,Europe & Central Asia,0,47.0,81.0,-34.0
170,Turkmenistan,TKM,31.612,0.2296319573188488,6161328.3,12434.1731,1416028.68042,Upper-middle-income countries,Europe & Central Asia,0,130.0,110.0,20.0
171,Uganda,UGA,31.619,0.1059523774237242,37288881.8,2484.69437,3943314.7157,Low-income countries,Sub-Saharan Africa,0,76.0,111.0,-35.0
172,Ukraine,UKR,15.122,0.0971268182933005,45807719.6,16949.88175,4456924.7498,Lower-middle-income countries,Europe & Central Asia,0,70.0,41.0,29.0
173,United Arab Emirates,ARE,43.039,0.579788141179654,8257433.8,73506.326,4764056.61425,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0,149.0,131.0,18.0
174,United Kingdom,GBR,11.244,0.0678222027906777,64807617.5,49421.332,4383729.2385,High-income countries,Europe & Central Asia,0,26.0,19.0,7.0
175,United States,USA,8.421,0.2036091367420098,320307350.3,63851.2006,65025825.599,High-income countries,North America,0,126.0,10.0,116.0
176,Uruguay,URY,9.287,0.1666017214115886,3360995.5,28279.216200000003,560082.69171,High-income countries,Latin America & Caribbean,0,119.0,13.0,106.0
177,Uzbekistan,UZB,48.643,0.0706117036145299,30560894.7,7276.03879,2158009.2624,Lower-middle-income countries,Europe & Central Asia,0,29.0,135.0,-106.0
179,Vietnam,VNM,21.133000000000003,0.1407501196250835,92309794.7,9183.057,12984748.8868,Lower-middle-income countries,East Asia & Pacific,0,104.0,69.0,35.0
180,Zambia,ZMB,17.213,0.1586752895896321,16185357.1,3522.36323,2552571.3406,Lower-middle-income countries,Sub-Saharan Africa,0,118.0,50.0,68.0
181,Zimbabwe,ZWE,13.169,0.1411715655600057,14310863.5,4917.74211,2020464.1232,Low-income countries,Sub-Saharan Africa,0,105.0,29.0,76.0
