Country Name,Country Code,PM25 Concentration,Per capita emissions,Population,GDP Per Capita,total_emissions_all_pollutants,Income Group,Region,SIDS_category
Sudan,SDN,22.158,0.0870202851804172,39886495.0,4100.83379,3456170.8349,Lower-middle-income countries,Sub-Saharan Africa,0
Suriname,SUR,12.211,0.14817694499786144,578159.6,23308.7952,85665.173622,Upper-middle-income countries,Latin America & Caribbean,1
Sweden,SWE,6.531999999999999,0.09659744795342393,9787727.2,58642.663,942781.9055400001,High-income countries,Europe & Central Asia,0
Switzerland,CHE,10.907,0.053541429296743395,8220934.6,76587.0796,438408.77926000004,High-income countries,Europe & Central Asia,0
Syria,SYR,24.726999999999997,0.03939980621695748,20783535.7,6225.58359,832289.3393,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Tajikistan,TJK,63.496,0.11120142886107236,8556600.2,3014.7023799999997,951567.96633,Low-income countries,Europe & Central Asia,0
Tanzania,TZA,15.419999999999998,0.09045587343342917,51544765.6,3073.073,4652794.1373,Low-income countries,Sub-Saharan Africa,0
Thailand,THA,24.884,0.23315352623946772,70254340.7,18836.8424,16366701.4364,Upper-middle-income countries,East Asia & Pacific,0
Togo,TGO,36.198,0.11295732114841406,7580816.2,2329.78258,856223.8659400002,Low-income countries,Sub-Saharan Africa,0
Tonga,TON,7.261,0.058126841744856904,106432.8,6273.2411,6186.2145225,Upper-middle-income countries,East Asia & Pacific,1
Trinidad and Tobago,TTO,10.347,0.2422763449009555,1345020.0,36049.4973,325628.88252000004,High-income countries,Latin America & Caribbean,1
Tunisia,TUN,26.395999999999997,0.07998025748207972,11329934.2,12734.45485,904601.3023,Lower-middle-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
Turkey,TUR,23.063,0.0841211924204062,77766689.7,25137.2248,6540749.3066,Upper-middle-income countries,Europe & Central Asia,0
Turkmenistan,TKM,31.612000000000002,0.22963195731884883,6161328.3,12434.1731,1416028.68042,Upper-middle-income countries,Europe & Central Asia,0
Uganda,UGA,31.619,0.10595237742372421,37288881.8,2484.69437,3943314.7156999996,Low-income countries,Sub-Saharan Africa,0
Ukraine,UKR,15.122,0.09712681829330051,45807719.6,16949.88175,4456924.7498,Lower-middle-income countries,Europe & Central Asia,0
United Arab Emirates,ARE,43.039,0.579788141179654,8257433.8,73506.326,4764056.61425,High-income countries,"Middle East, North Africa, Afghanistan & Pakistan",0
United Kingdom,GBR,11.244,0.06782220279067772,64807617.5,49421.332,4383729.2385,High-income countries,Europe & Central Asia,0
United States,USA,8.421,0.2036091367420098,320307350.3,63851.200600000004,65025825.599,High-income countries,North America,0
Uruguay,URY,9.287,0.16660172141158866,3360995.5,28279.216200000003,560082.69171,High-income countries,Latin America & Caribbean,0
Uzbekistan,UZB,48.643,0.07061170361452998,30560894.7,7276.0387900000005,2158009.2624,Lower-middle-income countries,Europe & Central Asia,0
Vanuatu,VUT,8.431000000000001,0.051976434665621817,263926.6,3391.1528100000005,13659.0405244,Lower-middle-income countries,East Asia & Pacific,1
Vietnam,VNM,21.133000000000003,0.14075011962508355,92309794.7,9183.057,12984748.8868,Lower-middle-income countries,East Asia & Pacific,0
Zambia,ZMB,17.213,0.1586752895896321,16185357.1,3522.36323,2552571.3406,Lower-middle-income countries,Sub-Saharan Africa,0
Zimbabwe,ZWE,13.169,0.1411715655600057,14310863.5,4917.74211,2020464.1232,Low-income countries,Sub-Saharan Africa,0
